epoch,fid
0,195.11151385584586
10,109.40097508217389
20,94.44987125308936
22,91.80977722852384
24,90.57468986989171
26,89.69874197470834
28,88.36533508373256
30,88.73390451465853
32,91.28149487756905
34,87.41323981570993
36,89.51394098569084
38,87.62532829096891
40,85.74890929525667
42,84.28617162718153
44,88.1586004822363
46,82.64270110043309
48,82.43333203325919
50,85.54550709269364
52,85.74090131441758
54,83.90734364451052
56,82.94360567933892
58,84.50915035390835
60,82.22628455872966
62,86.18081551668627
64,86.42625783414091
66,86.47246758697142
68,83.24258905412486
70,82.43272173807628
72,82.6075900188845
74,79.04514113756586
76,78.79008015500901
78,78.70920303634935
80,80.62297181222972
82,78.14592370983758
84,84.48983657764235
86,81.04257668312417
88,78.93617184837777
90,77.65513764463472
92,82.02911693830724
94,76.62783332185528
96,78.05283586740907
98,81.21932930365746
100,77.61167512763626
102,79.77668922240295
104,79.82718283695846
106,80.30965697729053
108,76.52859626405336
110,81.03699408496564
112,81.05827099319437
114,79.61962392580115
116,80.73649930220917
118,80.76729604187818
120,79.59877214434925
