epoch,score,std
0,9.934981346130373,0.16842412948608398
10,21.470434188842773,0.13467489182949066
20,24.79761505126953,0.4946334362030029
22,24.814851760864254,0.5630481243133545
24,24.48037147521973,0.3510158658027649
26,25.079137802124023,0.2359067052602768
28,25.010929107666016,0.4117368757724762
30,24.92759895324707,0.2841212451457977
32,24.839054107666016,0.3688320219516754
34,24.71400451660156,0.3417312800884247
36,22.942514419555664,0.4730591773986816
38,25.8686466217041,0.5187040567398071
40,25.39569664001465,0.4483844339847565
42,24.744808197021484,0.4495988190174103
44,24.375768661499023,0.2209903448820114
46,24.759296417236328,0.4535103738307953
48,24.068607330322266,0.35079360008239746
50,23.892147064208984,0.5464987754821777
52,23.258625030517575,0.3623930513858795
54,25.55349349975586,0.5150160789489746
56,25.07451057434082,0.5374666452407837
58,25.18288230895996,0.3997200727462769
60,23.979969024658203,0.4454005360603333
62,22.69548225402832,0.31791988015174866
64,24.135801315307614,0.4622046649456024
66,24.03842544555664,0.3513941168785095
68,24.89411544799805,0.4486096203327179
70,24.40703773498535,0.4343917369842529
72,24.06753921508789,0.5169358849525452
74,25.36481857299805,0.4748117327690125
76,25.479530334472656,0.28742799162864685
78,24.99632453918457,0.5328056216239929
80,25.84064865112305,0.3331515192985535
82,25.495502471923828,0.5256246328353882
84,24.176010131835934,0.3926990330219269
86,24.752775192260746,0.6588485836982727
88,25.91253662109375,0.514526903629303
90,23.922748565673828,0.4285998046398163
92,24.831268310546875,0.2725077271461487
94,24.83666038513184,0.4370350539684296
96,25.384967803955078,0.415690153837204
98,24.260272979736328,0.3464774191379547
100,24.50930595397949,0.3537172377109528
102,24.981794357299805,0.4725078940391541
104,25.8612117767334,0.3262558877468109
106,24.05874252319336,0.3826876878738403
108,26.43856430053711,0.4921693801879883
110,24.46588516235352,0.4049438536167145
112,26.703725814819336,0.4004887640476227
114,25.64043045043945,0.3139098286628723
116,25.7424430847168,0.3479982018470764
118,24.592464447021484,0.41994324326515203
120,24.255523681640625,0.40007805824279785
